"Name","PA","OBP"
"Cody Ross",219,0.306
"Jon Singleton",362,0.285
"Skip Schumaker",271,0.287
"Jose Molina",247,0.23
"Mark Trumbo",362,0.293
"Allen Craig",505,0.279
"Nick Swisher",401,0.278
"Matt Dominguez",607,0.256
"Domonic Brown",512,0.285
"Kendrys Morales",401,0.274
"Michael Choice",280,0.25
