"","ALXN","AMGN","ANIK","ARWR","BIIB","CASC","CBM","CELG","GILD","IMGN","INCY","NKTR","PGNX","REGN","RGEN","SPPI","SRPT","TECH","VRTX"
"1998-06-24",2.59375,14.391942,13.25,45.5,4.458333,76.5,11.664471,0.458333,1.004724,1.5937,16.59375,12.78125,14.6875,8.625,1.6875,351.495789,37.125,7.823849,13.8125
"1998-06-25",2.46875,13.906824,14.9062,45.5,4.427083,76.5,11.445417,0.4375,0.982883,1.625,16.375,11.5625,14.0625,9,1.5312,332.996002,37.875,7.87818,13.875
"1998-06-26",2.46875,14.014624,14.375,45.5,4.291667,87.75,11.664471,0.4375,1.008365,1.6875,16.125,12.75,14.625,8.875,1.5625,322.204468,37.125,8.041175,14.5
"1998-06-29",2.484375,14.122431,15,45.5,4.25,84.373199,11.746613,0.421875,1.022926,1.875,16.875,12.75,14.625,8.9375,1.5937,320.662811,37.312199,8.204173,13.8125
"1998-06-30",2.5,14.095479,14.625,32.5,3.927083,81,11.500177,0.442708,0.933738,1.75,17.0625,12.375,14.875,9.2187,1.5312,308.32962,37.5,8.285673,11.25
"1998-07-01",2.40625,14.122431,14.625,32.5,3.979167,84.373199,11.938281,0.453125,0.884594,1.625,17.03125,12.0625,15.375,9.5,1.5937,289.829865,35.437199,8.122673,10.9375
"1998-07-02",2.375,14.418891,14.5625,32.5,3.822917,78.75,11.965664,0.442708,0.738982,1.6562,17.125,12.125,15,9.0625,1.6562,286.746552,36.187199,8.041175,11.0625
"1998-07-06",2.34375,14.6345,14.5,32.5,3.927083,110.25,12.157333,0.427083,0.729881,1.6562,17.5625,11.78125,14.5,9,1.5625,309.871277,35.25,7.905343,11
"1998-07-07",2.25,14.755781,14.375,32.5,3.8125,88.873199,12.102571,0.442708,0.700759,1.6875,17.3125,11.5,14.375,9.25,1.5625,326.829407,33,7.715179,10.5
"1998-07-08",2.21875,14.877062,15.75,32.5,3.760417,85.5,12.266858,0.447917,0.742622,1.625,19.5625,12.125,14.625,9,1.5,332.996002,32.625,7.497851,10.5
"1998-07-09",2.21875,14.526699,16.25,32.5,3.854167,87.75,12.321622,0.515625,0.720781,1.5625,18.492149,12.4375,14.25,9.25,1.5,322.204468,32.25,7.497851,10.5
"1998-07-10",2.25,14.674928,17,32.5,3.854167,83.25,12.349004,0.544271,0.700759,1.5,19,12.71875,14.5,9.25,1.5,294.454803,33,7.443522,10.0625
"1998-07-13",2.3125,14.76926,18,32.5,3.833333,81,12.540671,0.528646,0.684377,1.4375,18.46875,13.375,15.4375,9,1.4687,299.079742,33,7.389189,9.96875
"1998-07-14",2.25,15.079197,18.1875,32.5,4.4375,78.75,12.485909,0.552083,0.691658,1.5,18.5625,14,15.25,9,1.4062,299.079742,31.875,7.416355,9.75
"1998-07-15",2.296875,15.281332,16.75,32.5,4.4375,78.75,12.129949,0.588542,0.702579,1.4687,19.15625,13.875,15,9.125,1.375,297.538086,32.625,7.334854,10.28125
"1998-07-16",2.25,15.200479,16.25,32.5,4.260417,79.873199,12.622817,0.520833,0.691658,1.4062,20.25,14.25,15.125,9.0468,1.375,294.454803,33,7.525017,10.4375
"1998-07-17",2.25,15.631696,16.25,32.5,4.541667,74.25,12.622817,0.494792,0.677097,1.4687,21,14.625,14.625,8.0625,1.375,294.454803,32.25,7.090359,10
